"PP04B_COD";"PP04B_label";"caes_seccion_cod";"caes_seccion_label";"caes_division_cod";"caes_division_label";"caes_eph_cod";"caes_eph_label";"caes_version"
"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0101";"Cultivos agrícolas";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0102";"Cría de animales";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0103";"Cultivo de productos agrícolas en combinación con la cría de animales";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0104";"Servicios agrícolas y pecuarios, excepto los veterinarios";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0105";"Caza y servicios de apoyo";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"01";"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"02";"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"02";"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0200";"Silvicultura, extracción de madera y actividades de apoyo";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"02";"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"03";"PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"03";"PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"0300";"Pesca, acuicultura y actividades de apoyo";"A";"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA";"03";"PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO";"1";"Actividades primarias";"1.0"
"05";"EXTRACCIÓN DE CARBÓN Y LIGNITO";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"05";"EXTRACCIÓN DE CARBÓN Y LIGNITO";"1";"Actividades primarias";"1.0"
"0500";"Extracción de carbón y lignito";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"05";"EXTRACCIÓN DE CARBÓN Y LIGNITO";"1";"Actividades primarias";"1.0"
"06";"EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"06";"EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL";"1";"Actividades primarias";"1.0"
"0600";"Extracción de petróleo crudo y gas natural";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"06";"EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL";"1";"Actividades primarias";"1.0"
"07";"EXTRACCIÓN DE MINERALES METALÍFEROS";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"07";"EXTRACCIÓN DE MINERALES METALÍFEROS";"1";"Actividades primarias";"1.0"
"0700";"Extracción de minerales metalíferos";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"07";"EXTRACCIÓN DE MINERALES METALÍFEROS";"1";"Actividades primarias";"1.0"
"08";"EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"08";"EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS";"1";"Actividades primarias";"1.0"
"0800";"Explotación de otras minas y canteras";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"08";"EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS";"1";"Actividades primarias";"1.0"
"09";"ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"09";"ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS";"1";"Actividades primarias";"1.0"
"0900";"Actividades de apoyo a la explotación de minas y canteras";"B";"EXPLOTACIÓN DE MINAS Y CANTERAS";"09";"ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS";"1";"Actividades primarias";"1.0"
"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"C";"INDUSTRIA MANUFACTURERA";"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"2";"Industria manufacturera";"1.0"
"1001";"Producción y procesamiento de carne y pescado";"C";"INDUSTRIA MANUFACTURERA";"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"2";"Industria manufacturera";"1.0"
"1002";"Preparación de frutas, hortalizas y legumbres; aceites y grasas";"C";"INDUSTRIA MANUFACTURERA";"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"2";"Industria manufacturera";"1.0"
"1003";"Elaboración de productos lácteos";"C";"INDUSTRIA MANUFACTURERA";"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"2";"Industria manufacturera";"1.0"
"1009";"Elaboración de productos alimenticios n.c.p.";"C";"INDUSTRIA MANUFACTURERA";"10";"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS";"2";"Industria manufacturera";"1.0"
"11";"ELABORACIÓN DE BEBIDAS";"C";"INDUSTRIA MANUFACTURERA";"11";"ELABORACIÓN DE BEBIDAS";"2";"Industria manufacturera";"1.0"
"1100";"Elaboración de bebidas";"C";"INDUSTRIA MANUFACTURERA";"11";"ELABORACIÓN DE BEBIDAS";"2";"Industria manufacturera";"1.0"
"12";"ELABORACIÓN DE PRODUCTOS DE TABACO";"C";"INDUSTRIA MANUFACTURERA";"12";"ELABORACIÓN DE PRODUCTOS DE TABACO";"2";"Industria manufacturera";"1.0"
"1200";"Elaboración de productos de tabaco";"C";"INDUSTRIA MANUFACTURERA";"12";"ELABORACIÓN DE PRODUCTOS DE TABACO";"2";"Industria manufacturera";"1.0"
"13";"FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR";"C";"INDUSTRIA MANUFACTURERA";"13";"FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR";"2";"Industria manufacturera";"1.0"
"1300";"Fabricación de productos textiles, excepto prendas de vestir";"C";"INDUSTRIA MANUFACTURERA";"13";"FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR";"2";"Industria manufacturera";"1.0"
"14";"CONFECCIÓN DE PRENDAS DE VESTIR, TERMINACIÓN Y TEÑIDO DE PIELES";"C";"INDUSTRIA MANUFACTURERA";"14";"CONFECCIÓN DE PRENDAS DE VESTIR, TERMINACIÓN Y TEÑIDO DE PIELES";"2";"Industria manufacturera";"1.0"
"1400";"Confección de prendas de vestir, terminación y teñido de pieles";"C";"INDUSTRIA MANUFACTURERA";"14";"CONFECCIÓN DE PRENDAS DE VESTIR, TERMINACIÓN Y TEÑIDO DE PIELES";"2";"Industria manufacturera";"1.0"
"15";"FABRICACION DE CUERO Y PRODUCTOS CONEXOS";"C";"INDUSTRIA MANUFACTURERA";"15";"FABRICACION DE CUERO Y PRODUCTOS CONEXOS";"2";"Industria manufacturera";"1.0"
"1501";"Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; teñido de pieles";"C";"INDUSTRIA MANUFACTURERA";"15";"FABRICACION DE CUERO Y PRODUCTOS CONEXOS";"2";"Industria manufacturera";"1.0"
"1502";"Fabricación de calzado y sus partes";"C";"INDUSTRIA MANUFACTURERA";"15";"FABRICACION DE CUERO Y PRODUCTOS CONEXOS";"2";"Industria manufacturera";"1.0"
"16";"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";"C";"INDUSTRIA MANUFACTURERA";"16";"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";"2";"Industria manufacturera";"1.0"
"1600";"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables";"C";"INDUSTRIA MANUFACTURERA";"16";"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";"2";"Industria manufacturera";"1.0"
"17";"FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL";"C";"INDUSTRIA MANUFACTURERA";"17";"FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL";"2";"Industria manufacturera";"1.0"
"1700";"Fabricación de papel y productos de papel";"C";"INDUSTRIA MANUFACTURERA";"17";"FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL";"2";"Industria manufacturera";"1.0"
"18";"ACTIVIDADES DE IMPRESIÓN Y SERVICIOS DE APOYO; REPRODUCCIÓN DE GRABACIONES";"C";"INDUSTRIA MANUFACTURERA";"18";"ACTIVIDADES DE IMPRESIÓN Y SERVICIOS DE APOYO; REPRODUCCIÓN DE GRABACIONES";"2";"Industria manufacturera";"1.0"
"1800";"Actividades de impresión y servicios de apoyo; reproducción de grabaciones";"C";"INDUSTRIA MANUFACTURERA";"18";"ACTIVIDADES DE IMPRESIÓN Y SERVICIOS DE APOYO; REPRODUCCIÓN DE GRABACIONES";"2";"Industria manufacturera";"1.0"
